name,female,male,total,p_female,simulation
Kahili/Kāhili,23,19,42,0.5476190476190477,2
Kahinu,37,16,53,0.6981132075471698,2
Kahue,89,58,147,0.6054421768707483,2
Kahuhu,21,19,40,0.525,2
Kaʻaeʻa,29,13,42,0.6904761904761905,2
Kaʻahanui,35,20,55,0.6363636363636364,2
Kaʻai,34,28,62,0.5483870967741935,2
Kaʻaihue,33,28,61,0.5409836065573771,2
Kaʻākau,38,31,69,0.5507246376811594,2
Kaʻanāʻanā,84,57,141,0.5957446808510638,2
Kaʻaua/Kaʻauʻa,67,31,98,0.6836734693877551,2
Kaʻaukai,35,35,70,0.5,2
Kaʻawa,29,24,53,0.5471698113207547,2
Kaʻili,53,41,94,0.5638297872340425,2
Kaʻilianu,28,23,51,0.5490196078431373,2
Kaiʻa,46,31,77,0.5974025974025974,2
Kaina,30,17,47,0.6382978723404256,2
Kaipo,22,20,42,0.5238095238095238,2
Kaiwi,54,43,97,0.5567010309278351,2
Kalā/Kala,29,20,49,0.5918367346938775,2
Kalama,67,61,128,0.5234375,2
Kalawaiʻa,53,46,99,0.5353535353535354,2
Kalehua,25,17,42,0.5952380952380952,2
Kalei,19,21,40,0.475,2
Kaleo,18,25,43,0.4186046511627907,2
Kalili,42,34,76,0.5526315789473685,2
Kalua,205,122,327,0.6269113149847095,2
Ahia,25,18,43,0.5813953488372093,3
Alapaʻi,36,16,52,0.6923076923076923,3
Haʻaheo,21,16,37,0.5675675675675675,3
Hana,57,38,95,0.6,3
Haole,27,19,46,0.5869565217391305,3
Hina,22,23,45,0.4888888888888889,3
ʻEhu,26,21,47,0.5531914893617021,3
Kahananui,61,34,95,0.6421052631578947,3
Kaheana,46,35,81,0.5679012345679012,3
Kahele,71,62,133,0.5338345864661654,3
Kahili/Kāhili,24,18,42,0.5714285714285714,3
Kahinu,37,16,53,0.6981132075471698,3
Kahue,90,57,147,0.6122448979591837,3
Kahuhu,24,16,40,0.6,3
Kaʻaeʻa,25,17,42,0.5952380952380952,3
Kaʻahanui,25,30,55,0.45454545454545453,3
Kaʻai,34,28,62,0.5483870967741935,3
Kaʻaihue,33,28,61,0.5409836065573771,3
Kaʻākau,42,27,69,0.6086956521739131,3
Kaʻanāʻanā,88,53,141,0.624113475177305,3
Kaʻaua/Kaʻauʻa,52,46,98,0.5306122448979592,3
Kaʻaukai,47,23,70,0.6714285714285714,3
Kaʻawa,33,20,53,0.6226415094339622,3
Kaʻili,56,38,94,0.5957446808510638,3
Kaʻilianu,27,24,51,0.5294117647058824,3
Kaiʻa,43,34,77,0.5584415584415584,3
Kaina,25,22,47,0.5319148936170213,3
Kaipo,27,15,42,0.6428571428571429,3
Kaiwi,61,36,97,0.6288659793814433,3
Kalā/Kala,31,18,49,0.6326530612244898,3
Kalama,70,58,128,0.546875,3
Kalawaiʻa,59,40,99,0.5959595959595959,3
Kalehua,25,17,42,0.5952380952380952,3
Kalei,24,16,40,0.6,3
Kaleo,25,18,43,0.5813953488372093,3
Kalili,32,44,76,0.42105263157894735,3
Kalua,183,144,327,0.5596330275229358,3
Ahia,19,24,43,0.4418604651162791,4
Alapaʻi,36,16,52,0.6923076923076923,4
Haʻaheo,25,12,37,0.6756756756756757,4
Hana,62,33,95,0.6526315789473685,4
Haole,30,16,46,0.6521739130434783,4
Hina,26,19,45,0.5777777777777777,4
ʻEhu,27,20,47,0.574468085106383,4
Kahananui,60,35,95,0.631578947368421,4
Kaheana,47,34,81,0.5802469135802469,4
Kahele,76,57,133,0.5714285714285714,4
Kahili/Kāhili,23,19,42,0.5476190476190477,4
Kahinu,28,25,53,0.5283018867924528,4
Kahue,78,69,147,0.5306122448979592,4
Kahuhu,20,20,40,0.5,4
Kaʻaeʻa,29,13,42,0.6904761904761905,4
Kaʻahanui,35,20,55,0.6363636363636364,4
Kaʻai,37,25,62,0.5967741935483871,4
Kaʻaihue,33,28,61,0.5409836065573771,4
Kaʻākau,40,29,69,0.5797101449275363,4
Kaʻanāʻanā,83,58,141,0.5886524822695035,4
Kaʻaua/Kaʻauʻa,60,38,98,0.6122448979591837,4
Kaʻaukai,39,31,70,0.5571428571428572,4
Kaʻawa,31,22,53,0.5849056603773585,4
Kaʻili,55,39,94,0.5851063829787234,4
Kaʻilianu,33,18,51,0.6470588235294118,4
Kaiʻa,49,28,77,0.6363636363636364,4
Kaina,26,21,47,0.5531914893617021,4
Kaipo,22,20,42,0.5238095238095238,4
Kaiwi,53,44,97,0.5463917525773195,4
Kalā/Kala,30,19,49,0.6122448979591837,4
Kalama,78,50,128,0.609375,4
Kalawaiʻa,59,40,99,0.5959595959595959,4
Kalehua,20,22,42,0.47619047619047616,4
Kalei,21,19,40,0.525,4
Kaleo,22,21,43,0.5116279069767442,4
Kalili,42,34,76,0.5526315789473685,4
Kalua,180,147,327,0.5504587155963303,4
Ahia,24,19,43,0.5581395348837209,5
Alapaʻi,32,20,52,0.6153846153846154,5
Haʻaheo,20,17,37,0.5405405405405406,5
Hana,59,36,95,0.6210526315789474,5
Haole,28,18,46,0.6086956521739131,5
Hina,31,14,45,0.6888888888888889,5
ʻEhu,28,19,47,0.5957446808510638,5
Kahananui,61,34,95,0.6421052631578947,5
Kaheana,48,33,81,0.5925925925925926,5
Kahele,76,57,133,0.5714285714285714,5
Kahili/Kāhili,27,15,42,0.6428571428571429,5
Kahinu,36,17,53,0.6792452830188679,5
Kahue,91,56,147,0.6190476190476191,5
Kahuhu,22,18,40,0.55,5
Kaʻaeʻa,24,18,42,0.5714285714285714,5
Kaʻahanui,35,20,55,0.6363636363636364,5
Kaʻai,39,23,62,0.6290322580645161,5
Kaʻaihue,40,21,61,0.6557377049180327,5
Kaʻākau,33,36,69,0.4782608695652174,5
Kaʻanāʻanā,82,59,141,0.5815602836879432,5
Kaʻaua/Kaʻauʻa,47,51,98,0.47959183673469385,5
Kaʻaukai,38,32,70,0.5428571428571428,5
Kaʻawa,38,15,53,0.71698113207547165,5
Kaʻili,55,39,94,0.5851063829787234,5
Kaʻilianu,30,21,51,0.5882352941176471,5
Kaiʻa,46,31,77,0.5974025974025974,5
Kaina,23,24,47,0.48936170212765956,5
Kaipo,24,18,42,0.5714285714285714,5
Kaiwi,53,44,97,0.5463917525773195,5
Kalā/Kala,25,24,49,0.5102040816326531,5
Kalama,68,60,128,0.53125,5
Kalawaiʻa,56,43,99,0.5656565656565656,5
Kalehua,23,19,42,0.5476190476190477,5
Kalei,24,16,40,0.6,5
Kaleo,28,15,43,0.6511627906976745,5
Kalili,45,31,76,0.5921052631578947,5
Kalua,175,152,327,0.5351681957186545,5
Ahia,25,18,43,0.5813953488372093,6
Alapaʻi,29,23,52,0.5576923076923077,6
Haʻaheo,26,11,37,0.7027027027027027,6
Hana,59,36,95,0.6210526315789474,6
Haole,22,24,46,0.4782608695652174,6
Hina,26,19,45,0.5777777777777777,6
ʻEhu,27,20,47,0.574468085106383,6
Kahananui,52,43,95,0.5473684210526316,6
Kaheana,46,35,81,0.5679012345679012,6
Kahele,68,65,133,0.5112781954887218,6
Kahili/Kāhili,20,22,42,0.47619047619047616,6
Kahinu,32,21,53,0.6037735849056604,6
Kahue,93,54,147,0.6326530612244898,6
Kahuhu,24,16,40,0.6,6
Kaʻaeʻa,24,18,42,0.5714285714285714,6
Kaʻahanui,33,22,55,0.6,6
Kaʻai,34,28,62,0.5483870967741935,6
Kaʻaihue,34,27,61,0.5573770491803278,6
Kaʻākau,48,21,69,0.6956521739130435,6
Kaʻanāʻanā,78,63,141,0.5531914893617021,6
Kaʻaua/Kaʻauʻa,61,37,98,0.6224489795918368,6
Kaʻaukai,33,37,70,0.4714285714285714,6
Kaʻawa,28,25,53,0.5283018867924528,6
Kaʻili,57,37,94,0.6063829787234043,6
Kaʻilianu,34,17,51,0.6666666666666666,6
Kaiʻa,47,30,77,0.6103896103896104,6
Kaina,30,17,47,0.6382978723404256,6
Kaipo,23,19,42,0.5476190476190477,6
Kaiwi,54,43,97,0.5567010309278351,6
Kalā/Kala,29,20,49,0.5918367346938775,6
Kalama,76,52,128,0.59375,6
Kalawaiʻa,64,35,99,0.6464646464646465,6
Kalehua,23,19,42,0.5476190476190477,6
Kalei,24,16,40,0.6,6
Kaleo,24,19,43,0.5581395348837209,6
Kalili,47,29,76,0.618421052631579,6
Kalua,180,147,327,0.5504587155963303,6
Ahia,25,18,43,0.5813953488372093,7
Alapaʻi,29,23,52,0.5576923076923077,7
Haʻaheo,17,20,37,0.4594594594594595,7
Hana,47,48,95,0.49473684210526314,7
Haole,24,22,46,0.5217391304347826,7
Hina,30,15,45,0.6666666666666666,7
ʻEhu,27,20,47,0.574468085106383,7
Kahananui,55,40,95,0.5789473684210527,7
Kaheana,48,33,81,0.5925925925925926,7
Kahele,74,59,133,0.556390977443609,7
Kahili/Kāhili,29,13,42,0.6904761904761905,7
Kahinu,34,19,53,0.6415094339622641,7
Kahue,88,59,147,0.5986394557823129,7
Kahuhu,23,17,40,0.575,7
Kaʻaeʻa,23,19,42,0.5476190476190477,7
Kaʻahanui,42,13,55,0.7636363636363637,7
Kaʻai,34,28,62,0.5483870967741935,7
Kaʻaihue,41,20,61,0.6721311475409836,7
Kaʻākau,44,25,69,0.6376811594202898,7
Kaʻanāʻanā,84,57,141,0.5957446808510638,7
Kaʻaua/Kaʻauʻa,55,43,98,0.5612244897959183,7
Kaʻaukai,42,28,70,0.6,7
Kaʻawa,32,21,53,0.6037735849056604,7
Kaʻili,58,36,94,0.6170212765957447,7
Kaʻilianu,35,16,51,0.6862745098039216,7
Kaiʻa,39,38,77,0.5064935064935064,7
Kaina,25,22,47,0.5319148936170213,7
Kaipo,32,10,42,0.7619047619047619,7
Kaiwi,58,39,97,0.5979381443298969,7
Kalā/Kala,28,21,49,0.5714285714285714,7
Kalama,69,59,128,0.5390625,7
Kalawaiʻa,44,55,99,0.4444444444444444,7
Kalehua,29,13,42,0.6904761904761905,7
Kalei,25,15,40,0.625,7
Kaleo,25,18,43,0.5813953488372093,7
Kalili,44,32,76,0.5789473684210527,7
Kalua,176,151,327,0.5382262996941896,7
Ahia,23,20,43,0.5348837209302325,8
Alapaʻi,36,16,52,0.6923076923076923,8
Haʻaheo,21,16,37,0.5675675675675675,8
Hana,44,51,95,0.4631578947368421,8
Haole,29,17,46,0.6304347826086957,8
Hina,26,19,45,0.5777777777777777,8
ʻEhu,33,14,47,0.7021276595744681,8
Kahananui,55,40,95,0.5789473684210527,8
Kaheana,42,39,81,0.5185185185185185,8
Kahele,71,62,133,0.5338345864661654,8
Kahili/Kāhili,25,17,42,0.5952380952380952,8
Kahinu,28,25,53,0.5283018867924528,8
Kahue,88,59,147,0.5986394557823129,8
Kahuhu,21,19,40,0.525,8
Kaʻaeʻa,29,13,42,0.6904761904761905,8
Kaʻahanui,36,19,55,0.6545454545454545,8
Kaʻai,36,26,62,0.5806451612903226,8
Kaʻaihue,32,29,61,0.5245901639344263,8
Kaʻākau,44,25,69,0.6376811594202898,8
Kaʻanāʻanā,72,69,141,0.5106382978723404,8
Kaʻaua/Kaʻauʻa,61,37,98,0.6224489795918368,8
Kaʻaukai,38,32,70,0.5428571428571428,8
Kaʻawa,33,20,53,0.6226415094339622,8
Kaʻili,56,38,94,0.5957446808510638,8
Kaʻilianu,26,25,51,0.5098039215686274,8
Kaiʻa,48,29,77,0.6233766233766234,8
Kaina,32,15,47,0.6808510638297872,8
Kaipo,26,16,42,0.6190476190476191,8
Kaiwi,55,42,97,0.5670103092783505,8
Kalā/Kala,28,21,49,0.5714285714285714,8
Kalama,83,45,128,0.6484375,8
Kalawaiʻa,56,43,99,0.5656565656565656,8
Kalehua,16,26,42,0.38095238095238093,8
Kalei,24,16,40,0.6,8
Kaleo,30,13,43,0.6976744186046512,8
Kalili,46,30,76,0.6052631578947368,8
Kalua,185,142,327,0.5657492354740061,8
Ahia,25,18,43,0.5813953488372093,9
Alapaʻi,30,22,52,0.5769230769230769,9
Haʻaheo,26,11,37,0.7027027027027027,9
Hana,57,38,95,0.6,9
Haole,25,21,46,0.5434782608695652,9
Hina,27,18,45,0.6,9
ʻEhu,28,19,47,0.5957446808510638,9
Kahananui,55,40,95,0.5789473684210527,9
Kaheana,51,30,81,0.6296296296296297,9
Kahele,76,57,133,0.5714285714285714,9
Kahili/Kāhili,21,21,42,0.5,9
Kahinu,35,18,53,0.660377358490566,9
Kahue,82,65,147,0.5578231292517006,9
Kahuhu,25,15,40,0.625,9
Kaʻaeʻa,22,20,42,0.5238095238095238,9
Kaʻahanui,26,29,55,0.4727272727272727,9
Kaʻai,33,29,62,0.532258064516129,9
Kaʻaihue,30,31,61,0.4918032786885246,9
Kaʻākau,43,26,69,0.6231884057971014,9
Kaʻanāʻanā,91,50,141,0.6453900709219859,9
Kaʻaua/Kaʻauʻa,57,41,98,0.5816326530612245,9
Kaʻaukai,38,32,70,0.5428571428571428,9
Kaʻawa,34,19,53,0.6415094339622641,9
Kaʻili,60,34,94,0.6382978723404256,9
Kaʻilianu,29,22,51,0.5686274509803921,9
Kaiʻa,34,43,77,0.44155844155844154,9
Kaina,31,16,47,0.6595744680851063,9
Kaipo,24,18,42,0.5714285714285714,9
Kaiwi,53,44,97,0.5463917525773195,9
Kalā/Kala,32,17,49,0.6530612244897959,9
Kalama,81,47,128,0.6328125,9
Kalawaiʻa,54,45,99,0.5454545454545454,9
Kalehua,25,17,42,0.5952380952380952,9
Kalei,17,23,40,0.425,9
Kaleo,25,18,43,0.5813953488372093,9
Kalili,45,31,76,0.5921052631578947,9
Kalua,187,140,327,0.5718654434250765,9
Ahia,23,20,43,0.5348837209302325,10
Alapaʻi,34,18,52,0.6538461538461539,10
Haʻaheo,21,16,37,0.5675675675675675,10
Hana,53,42,95,0.5578947368421052,10
Haole,31,15,46,0.6739130434782609,10
Hina,22,23,45,0.4888888888888889,10
ʻEhu,28,19,47,0.5957446808510638,10
Kahananui,58,37,95,0.6105263157894737,10
Kaheana,47,34,81,0.5802469135802469,10
Kahele,74,59,133,0.556390977443609,10
Kahili/Kāhili,25,17,42,0.5952380952380952,10
Kahinu,33,20,53,0.6226415094339622,10
Kahue,82,65,147,0.5578231292517006,10
Kahuhu,25,15,40,0.625,10
Kaʻaeʻa,27,15,42,0.6428571428571429,10
Kaʻahanui,32,23,55,0.5818181818181818,10
Kaʻai,39,23,62,0.6290322580645161,10
Kaʻaihue,34,27,61,0.5573770491803278,10
Kaʻākau,32,37,69,0.463768115942029,10
Kaʻanāʻanā,81,60,141,0.574468085106383,10
Kaʻaua/Kaʻauʻa,48,50,98,0.4897959183673469,10
Kaʻaukai,41,29,70,0.5857142857142857,10
Kaʻawa,41,12,53,0.7735849056603774,10
Kaʻili,52,42,94,0.5531914893617021,10
Kaʻilianu,27,24,51,0.5294117647058824,10
Kaiʻa,41,36,77,0.5324675324675324,10
Kaina,20,27,47,0.425531914893617,10
Kaipo,28,14,42,0.6666666666666666,10
Kaiwi,61,36,97,0.6288659793814433,10
Kalā/Kala,23,26,49,0.46938775510204084,10
Kalama,77,51,128,0.6015625,10
Kalawaiʻa,72,27,99,0.7272727272727273,10
Kalehua,24,18,42,0.5714285714285714,10
Kalei,21,19,40,0.525,10
Kaleo,21,22,43,0.4883720930232558,10
Kalili,43,33,76,0.5657894736842105,10
Kalua,193,134,327,0.5902140672782875,10
Ahia,26,17,43,0.6046511627906976,11
Alapaʻi,34,18,52,0.6538461538461539,11
Haʻaheo,26,11,37,0.7027027027027027,11
Hana,49,46,95,0.5157894736842106,11
Haole,28,18,46,0.6086956521739131,11
Hina,28,17,45,0.6222222222222222,11
ʻEhu,28,19,47,0.5957446808510638,11
Kahananui,59,36,95,0.6210526315789474,11
Kaheana,47,34,81,0.5802469135802469,11
Kahele,74,59,133,0.556390977443609,11
Kahili/Kāhili,31,11,42,0.7380952380952381,11
Kahinu,38,15,53,0.71698113207547165,11
Kahue,81,66,147,0.5510204081632653,11
Kahuhu,27,13,40,0.675,11
Kaʻaeʻa,23,19,42,0.5476190476190477,11
Kaʻahanui,29,26,55,0.5272727272727272,11
Kaʻai,41,21,62,0.6612903225806451,11
Kaʻaihue,24,37,61,0.39344262295081966,11
Kaʻākau,40,29,69,0.5797101449275363,11
Kaʻanāʻanā,87,54,141,0.6170212765957447,11
Kaʻaua/Kaʻauʻa,56,42,98,0.5714285714285714,11
Kaʻaukai,37,33,70,0.5285714285714286,11
Kaʻawa,34,19,53,0.6415094339622641,11
Kaʻili,61,33,94,0.648936170212766,11
Kaʻilianu,27,24,51,0.5294117647058824,11
Kaiʻa,45,32,77,0.5844155844155844,11
Kaina,27,20,47,0.574468085106383,11
Kaipo,27,15,42,0.6428571428571429,11
Kaiwi,49,48,97,0.5051546391752577,11
Kalā/Kala,27,22,49,0.5510204081632653,11
Kalama,77,51,128,0.6015625,11
Kalawaiʻa,48,51,99,0.48484848484848486,11
Kalehua,30,12,42,0.7142857142857143,11
Kalei,22,18,40,0.55,11
Kaleo,26,17,43,0.6046511627906976,11
Kalili,41,35,76,0.5394736842105263,11
Kalua,180,147,327,0.5504587155963303,11
Ahia,29,14,43,0.6744186046511628,12
Alapaʻi,27,25,52,0.5192307692307693,12
Haʻaheo,21,16,37,0.5675675675675675,12
Hana,57,38,95,0.6,12
Haole,28,18,46,0.6086956521739131,12
Hina,21,24,45,0.4666666666666667,12
ʻEhu,25,22,47,0.5319148936170213,12
Kahananui,56,39,95,0.5894736842105263,12
Kaheana,47,34,81,0.5802469135802469,12
Kahele,78,55,133,0.5864661654135338,12
Kahili/Kāhili,19,23,42,0.4523809523809524,12
Kahinu,33,20,53,0.6226415094339622,12
Kahue,92,55,147,0.6258503401360545,12
Kahuhu,23,17,40,0.575,12
Kaʻaeʻa,28,14,42,0.6666666666666666,12
Kaʻahanui,35,20,55,0.6363636363636364,12
Kaʻai,40,22,62,0.6451612903225806,12
Kaʻaihue,33,28,61,0.5409836065573771,12
Kaʻākau,40,29,69,0.5797101449275363,12
Kaʻanāʻanā,70,71,141,0.49645390070921985,12
Kaʻaua/Kaʻauʻa,47,51,98,0.47959183673469385,12
Kaʻaukai,43,27,70,0.6142857142857143,12
Kaʻawa,31,22,53,0.5849056603773585,12
Kaʻili,61,33,94,0.648936170212766,12
Kaʻilianu,35,16,51,0.6862745098039216,12
Kaiʻa,45,32,77,0.5844155844155844,12
Kaina,30,17,47,0.6382978723404256,12
Kaipo,22,20,42,0.5238095238095238,12
Kaiwi,50,47,97,0.5154639175257731,12
Kalā/Kala,25,24,49,0.5102040816326531,12
Kalama,73,55,128,0.5703125,12
Kalawaiʻa,58,41,99,0.5858585858585859,12
Kalehua,27,15,42,0.6428571428571429,12
Kalei,30,10,40,0.75,12
Kaleo,25,18,43,0.5813953488372093,12
Kalili,48,28,76,0.631578947368421,12
Kalua,182,145,327,0.5565749235474006,12
Ahia,25,18,43,0.5813953488372093,13
Alapaʻi,32,20,52,0.6153846153846154,13
Haʻaheo,15,22,37,0.40540540540540543,13
Hana,57,38,95,0.6,13
Haole,29,17,46,0.6304347826086957,13
Hina,24,21,45,0.5333333333333333,13
ʻEhu,33,14,47,0.7021276595744681,13
Kahananui,58,37,95,0.6105263157894737,13
Kaheana,41,40,81,0.5061728395061729,13
Kahele,77,56,133,0.5789473684210527,13
Kahili/Kāhili,24,18,42,0.5714285714285714,13
Kahinu,28,25,53,0.5283018867924528,13
Kahue,84,63,147,0.5714285714285714,13
Kahuhu,20,20,40,0.5,13
Kaʻaeʻa,16,26,42,0.38095238095238093,13
Kaʻahanui,36,19,55,0.6545454545454545,13
Kaʻai,32,30,62,0.5161290322580645,13
Kaʻaihue,39,22,61,0.639344262295082,13
Kaʻākau,35,34,69,0.5072463768115942,13
Kaʻanāʻanā,84,57,141,0.5957446808510638,13
Kaʻaua/Kaʻauʻa,61,37,98,0.6224489795918368,13
Kaʻaukai,39,31,70,0.5571428571428572,13
Kaʻawa,26,27,53,0.49056603773584906,13
Kaʻili,52,42,94,0.5531914893617021,13
Kaʻilianu,38,13,51,0.7450980392156863,13
Kaiʻa,47,30,77,0.6103896103896104,13
Kaina,24,23,47,0.5106382978723404,13
Kaipo,23,19,42,0.5476190476190477,13
Kaiwi,55,42,97,0.5670103092783505,13
Kalā/Kala,30,19,49,0.6122448979591837,13
Kalama,77,51,128,0.6015625,13
Kalawaiʻa,66,33,99,0.6666666666666666,13
Kalehua,24,18,42,0.5714285714285714,13
Kalei,26,14,40,0.65,13
Kaleo,24,19,43,0.5581395348837209,13
Kalili,41,35,76,0.5394736842105263,13
Kalua,192,135,327,0.5871559633027523,13
Ahia,18,25,43,0.4186046511627907,14
Alapaʻi,33,19,52,0.6346153846153846,14
Haʻaheo,18,19,37,0.4864864864864865,14
Hana,62,33,95,0.6526315789473685,14
Haole,22,24,46,0.4782608695652174,14
Hina,27,18,45,0.6,14
ʻEhu,19,28,47,0.40425531914893614,14
Kahananui,56,39,95,0.5894736842105263,14
Kaheana,46,35,81,0.5679012345679012,14
Kahele,76,57,133,0.5714285714285714,14
Kahili/Kāhili,24,18,42,0.5714285714285714,14
Kahinu,36,17,53,0.6792452830188679,14
Kahue,87,60,147,0.5918367346938775,14
Kahuhu,22,18,40,0.55,14
Kaʻaeʻa,28,14,42,0.6666666666666666,14
Kaʻahanui,28,27,55,0.509090909090909,14
Kaʻai,40,22,62,0.6451612903225806,14
Kaʻaihue,31,30,61,0.5081967213114754,14
Kaʻākau,40,29,69,0.5797101449275363,14
Kaʻanāʻanā,77,64,141,0.5460992907801419,14
Kaʻaua/Kaʻauʻa,56,42,98,0.5714285714285714,14
Kaʻaukai,41,29,70,0.5857142857142857,14
Kaʻawa,27,26,53,0.5094339622641509,14
Kaʻili,49,45,94,0.5212765957446809,14
Kaʻilianu,32,19,51,0.6274509803921569,14
Kaiʻa,50,27,77,0.6493506493506493,14
Kaina,29,18,47,0.6170212765957447,14
Kaipo,24,18,42,0.5714285714285714,14
Kaiwi,57,40,97,0.5876288659793815,14
Kalā/Kala,35,14,49,0.7142857142857143,14
Kalama,80,48,128,0.625,14
Kalawaiʻa,54,45,99,0.5454545454545454,14
Kalehua,25,17,42,0.5952380952380952,14
Kalei,22,18,40,0.55,14
Kaleo,26,17,43,0.6046511627906976,14
Kalili,50,26,76,0.6578947368421053,14
Kalua,187,140,327,0.5718654434250765,14
Ahia,20,23,43,0.46511627906976744,15
Alapaʻi,32,20,52,0.6153846153846154,15
Haʻaheo,23,14,37,0.6216216216216216,15
Hana,50,45,95,0.5263157894736842,15
Haole,31,15,46,0.6739130434782609,15
Hina,26,19,45,0.5777777777777777,15
ʻEhu,32,15,47,0.6808510638297872,15
Kahananui,48,47,95,0.5052631578947369,15
Kaheana,52,29,81,0.6419753086419753,15
Kahele,81,52,133,0.6090225563909775,15
Kahili/Kāhili,26,16,42,0.6190476190476191,15
Kahinu,29,24,53,0.5471698113207547,15
Kahue,85,62,147,0.5782312925170068,15
Kahuhu,22,18,40,0.55,15
Kaʻaeʻa,25,17,42,0.5952380952380952,15
Kaʻahanui,31,24,55,0.5636363636363636,15
Kaʻai,39,23,62,0.6290322580645161,15
Kaʻaihue,39,22,61,0.639344262295082,15
Kaʻākau,39,30,69,0.5652173913043478,15
Kaʻanāʻanā,77,64,141,0.5460992907801419,15
Kaʻaua/Kaʻauʻa,60,38,98,0.6122448979591837,15
Kaʻaukai,36,34,70,0.5142857142857142,15
Kaʻawa,29,24,53,0.5471698113207547,15
Kaʻili,52,42,94,0.5531914893617021,15
Kaʻilianu,31,20,51,0.6078431372549019,15
Kaiʻa,47,30,77,0.6103896103896104,15
Kaina,21,26,47,0.44680851063829785,15
Kaipo,26,16,42,0.6190476190476191,15
Kaiwi,57,40,97,0.5876288659793815,15
Kalā/Kala,29,20,49,0.5918367346938775,15
Kalama,73,55,128,0.5703125,15
Kalawaiʻa,58,41,99,0.5858585858585859,15
Kalehua,23,19,42,0.5476190476190477,15
Kalei,28,12,40,0.7,15
Kaleo,24,19,43,0.5581395348837209,15
Kalili,43,33,76,0.5657894736842105,15
Kalua,190,137,327,0.581039755351682,15
Ahia,28,15,43,0.6511627906976745,16
Alapaʻi,27,25,52,0.5192307692307693,16
Haʻaheo,23,14,37,0.6216216216216216,16
Hana,49,46,95,0.5157894736842106,16
Haole,31,15,46,0.6739130434782609,16
Hina,26,19,45,0.5777777777777777,16
ʻEhu,29,18,47,0.6170212765957447,16
Kahananui,58,37,95,0.6105263157894737,16
Kaheana,43,38,81,0.5308641975308642,16
Kahele,70,63,133,0.5263157894736842,16
Kahili/Kāhili,23,19,42,0.5476190476190477,16
Kahinu,30,23,53,0.5660377358490566,16
Kahue,81,66,147,0.5510204081632653,16
Kahuhu,26,14,40,0.65,16
Kaʻaeʻa,18,24,42,0.42857142857142855,16
Kaʻahanui,35,20,55,0.6363636363636364,16
Kaʻai,37,25,62,0.5967741935483871,16
Kaʻaihue,34,27,61,0.5573770491803278,16
Kaʻākau,40,29,69,0.5797101449275363,16
Kaʻanāʻanā,86,55,141,0.6099290780141844,16
Kaʻaua/Kaʻauʻa,57,41,98,0.5816326530612245,16
Kaʻaukai,39,31,70,0.5571428571428572,16
Kaʻawa,35,18,53,0.660377358490566,16
Kaʻili,60,34,94,0.6382978723404256,16
Kaʻilianu,30,21,51,0.5882352941176471,16
Kaiʻa,40,37,77,0.5194805194805194,16
Kaina,24,23,47,0.5106382978723404,16
Kaipo,27,15,42,0.6428571428571429,16
Kaiwi,57,40,97,0.5876288659793815,16
Kalā/Kala,29,20,49,0.5918367346938775,16
Kalama,87,41,128,0.6796875,16
