"species","size_cm"
"uhu","41.8"
"uhu","42.3"
"uhu","50.4"
"uhu","48.6"
"uhu","56.9"
"uhu","45.9"
"uhu","58.8"
"uhu","51.5"
"uhu","57"
"uhu","58.7"
"uhu","50.1"
"uhu","41"
"uhu","64"
"uhu","30.2"
"uhu","54.6"
"uhu","50.6"
"uhu","51.2"
"uhu","48.5"
"uhu","45.4"
"uhu","43.4"
"uhu","43.5"
"uhu","58"
"uhu","38.5"
"uhu","67.9"
"uhu","42.6"
"uhu","40.8"
"uhu","42.8"
"uhu","58.1"
"uhu","71.9"
"uhu","63.1"
"uhu","69.5"
"uhu","57.1"
"uhu","49.9"
"uhu","34.1"
"uhu","40.1"
"uhu","49.9"
"uhu","32.2"
"uhu","50.5"
"uhu","30.1"
"uhu","66.9"
"uhu","47.9"
"uhu","64.2"
"uhu","49.7"
"uhu","42.1"
"uhu","56.9"
"uhu","49.1"
"uhu","48.6"
"uhu","29.3"
"uhu","69.9"
"uhu","66.1"
"uhu","48.8"
"uhu","51"
"uhu","59.7"
"uhu","42"
"uhu","36.6"
"uhu","42.9"
"uhu","29.6"
"uhu","43.4"
"uhu","35"
"uhu","45.4"
"uhu","51.2"
"uhu","43.4"
"uhu","31.2"
"uhu","37.3"
"uhu","61.9"
"uhu","59.3"
"uhu","58.5"
"uhu","48.6"
"uhu","46.4"
"uhu","64"
"uhu","53.7"
"uhu","50.4"
"uhu","52.2"
"uhu","63.4"
"uhu","63"
"uhu","39.1"
"uhu","50.5"
"uhu","52.6"
"uhu","29.7"
"uhu","57.3"
"uhu","54.3"
"uhu","54.1"
"uhu","63.7"
"uhu","48"
"uhu","51.4"
"uhu","51.5"
"uhu","30.1"
"uhu","67.4"
"uhu","54.1"
"uhu","44.4"
"uhu","58.4"
"uhu","55.9"
"uhu","46.7"
"uhu","43.3"
"uhu","60.9"
"uhu","45"
"uhu","53.1"
"uhu","48.5"
"uhu","52.6"
"uhu","49.3"
"uhu","66"
"uhu","76.9"
"uhu","55.3"
"uhu","57.8"
"uhu","43.2"
"uhu","41"
"uhu","43"
"uhu","62.1"
"uhu","48.3"
"uhu","39.1"
"uhu","34.6"
"uhu","46.6"
"uhu","31"
"uhu","25.7"
"uhu","51.4"
"uhu","40.6"
"uhu","51.7"
"uhu","40.3"
"uhu","45.2"
"uhu","44.5"
"uhu","32.4"
"uhu","68.5"
"uhu","50.6"
"uhu","46.2"
"uhu","58"
"uhu","51.8"
"uhu","63"
"uhu","46.3"
"uhu","65.4"
"uhu","49.9"
"uhu","38.7"
"uhu","25"
"uhu","26.7"
"uhu","41.5"
"uhu","41.8"
"uhu","57.8"
"uhu","41.4"
"uhu","41.4"
